Customer_id,Recency,Frequency,Total,R,F,M,RFM_score
CUSTOMER_00000,440,1,146.87,1,1,4,114
CUSTOMER_00001,199,1,335.48,3,1,5,315
CUSTOMER_00002,72,1,157.73,5,1,4,514
CUSTOMER_00003,139,1,173.3,4,1,4,414
CUSTOMER_00004,319,1,282.21,2,1,5,215
CUSTOMER_00005,161,1,22.77,4,1,1,411
CUSTOMER_00006,256,1,36.01,2,1,1,211
CUSTOMER_00007,194,1,39.1,3,1,1,311
CUSTOMER_00008,204,1,122.47,3,1,3,313
CUSTOMER_00009,245,1,40.4,3,1,1,311
CUSTOMER_00010,174,1,153.13,3,1,4,314
CUSTOMER_00011,325,1,117.31,2,1,3,213
CUSTOMER_00012,145,1,36.39,4,1,1,411
CUSTOMER_00013,120,1,102.47,4,1,3,413
CUSTOMER_00014,182,1,169.23,3,1,4,314
CUSTOMER_00015,42,1,16.53,5,1,1,511
CUSTOMER_00016,445,1,102.03,1,1,3,113
CUSTOMER_00017,271,1,54.62,2,1,2,212
CUSTOMER_00018,352,1,123.0,2,1,3,213
CUSTOMER_00019,289,1,232.70999999999998,2,1,5,215
CUSTOMER_00020,84,1,163.13,5,1,4,514
CUSTOMER_00021,473,1,94.63000000000001,1,1,3,113
CUSTOMER_00022,76,1,80.11000000000001,5,1,2,512
CUSTOMER_00023,171,1,56.78,4,1,2,412
CUSTOMER_00024,17,1,62.39,5,1,2,512
CUSTOMER_00025,441,1,47.59,1,1,1,111
CUSTOMER_00026,249,1,69.12,3,1,2,312
CUSTOMER_00027,67,1,58.69,5,1,2,512
CUSTOMER_00028,322,1,73.34,2,1,2,212
CUSTOMER_00029,246,1,62.44,3,1,2,312
CUSTOMER_00030,104,1,67.05,4,1,2,412
CUSTOMER_00031,411,1,134.25,1,1,4,114
CUSTOMER_00032,141,1,45.730000000000004,4,1,1,411
CUSTOMER_00033,83,1,62.06,5,1,2,512
CUSTOMER_00034,291,1,103.55000000000001,2,1,3,213
CUSTOMER_00035,355,1,60.0,2,1,2,212
CUSTOMER_00036,169,1,49.09,4,1,1,411
CUSTOMER_00037,24,1,85.81,5,1,3,513
CUSTOMER_00038,225,1,96.8,3,1,3,313
CUSTOMER_00039,180,1,78.7,3,1,2,312
CUSTOMER_00040,294,1,30.4,2,1,1,211
CUSTOMER_00041,77,1,218.49,5,1,5,515
