Seller_id,Recency,Frequency,Total,R,F,M,RFM_score
SELLER_0000,335,3,246.60000000000002,1,2,2,122
SELLER_0001,54,40,12823.32,3,5,5,355
SELLER_0002,259,1,199.92000000000002,1,1,1,111
SELLER_0003,83,1,73.89,3,1,1,311
SELLER_0004,5,35,4765.66,5,4,4,544
SELLER_0005,12,28,4247.16,5,4,4,544
SELLER_0006,8,6,299.16,5,3,2,532
SELLER_0007,6,174,72410.31999999999,5,5,5,555
SELLER_0008,173,1,97.88,2,1,1,211
SELLER_0009,48,3,268.96000000000004,3,2,2,322
SELLER_0010,6,33,4823.47,5,4,4,544
SELLER_0011,27,4,2472.66,4,2,4,424
SELLER_0012,94,1,2818.74,2,1,4,214
SELLER_0013,344,2,109.0,1,1,1,111
SELLER_0014,7,30,2563.4300000000003,5,4,4,544
SELLER_0015,74,15,1774.94,3,4,4,344
SELLER_0016,3,4,160.28,5,2,1,521
SELLER_0017,188,3,740.5,2,2,3,223
SELLER_0018,250,7,1217.8500000000001,1,3,3,133
SELLER_0019,26,22,4749.29,4,4,4,444
SELLER_0020,5,79,4518.38,5,5,4,554
SELLER_0021,205,12,638.02,2,4,3,243
SELLER_0022,50,50,3376.98,3,5,4,354
SELLER_0023,3,66,2753.9700000000003,5,5,4,554
SELLER_0024,30,19,2977.23,4,4,4,444
SELLER_0025,20,41,3817.58,4,5,4,454
SELLER_0026,259,4,463.92,1,2,2,122
SELLER_0027,22,3,73.32,4,2,1,421
SELLER_0028,151,4,138.78,2,2,1,221
SELLER_0029,5,49,1846.0,5,5,4,554
SELLER_0030,5,10,995.94,5,3,3,533
SELLER_0031,59,77,15692.65,3,5,5,355
SELLER_0032,2,2,457.38,5,1,2,512
SELLER_0033,178,3,64.86,2,2,1,221
SELLER_0034,56,26,2038.5900000000001,3,4,4,344
SELLER_0035,3,18,1924.09,5,4,4,544
SELLER_0036,74,13,663.71,3,4,3,343
SELLER_0037,290,2,354.78,1,1,2,112
SELLER_0038,4,5,1458.8,5,2,3,523
SELLER_0039,229,6,336.75,2,3,2,232
SELLER_0040,539,2,212.57,1,1,2,112
SELLER_0041,34,99,22582.86,4,5,5,455
SELLER_0042,19,13,2874.2200000000003,4,4,4,444
SELLER_0043,215,3,793.3399999999999,2,2,3,223
SELLER_0044,98,1,247.48,2,1,2,212
SELLER_0045,89,30,9920.09,3,4,5,345
SELLER_0046,63,72,3800.48,3,5,4,354
SELLER_0047,7,38,4621.95,5,5,4,554
SELLER_0048,46,5,491.90999999999997,3,2,2,322
SELLER_0049,423,13,504.24,1,4,2,142
SELLER_0050,15,3,278.74,4,2,2,422
SELLER_0051,126,13,904.26,2,4,3,243
SELLER_0052,662,1,162.6,1,1,1,111
SELLER_0053,87,7,544.74,3,3,2,332
SELLER_0054,535,1,208.16,1,1,2,112
SELLER_0055,27,23,5601.15,4,4,5,445
SELLER_0056,9,37,2332.37,5,5,4,554
SELLER_0057,6,6,877.5600000000001,5,3,3,533
SELLER_0058,32,40,3602.2400000000002,4,5,4,454
SELLER_0059,466,4,220.56,1,2,2,122
SELLER_0060,8,36,4591.11,5,4,4,544
SELLER_0061,12,165,25918.7,5,5,5,555
SELLER_0062,17,322,171973.55,4,5,5,455
SELLER_0063,20,320,14034.83,4,5,5,455
SELLER_0064,6,1,264.07,5,1,2,512
SELLER_0065,9,327,37128.22,5,5,5,555
SELLER_0066,7,7,929.94,5,3,3,533
SELLER_0067,50,1,49.87,3,1,1,311
SELLER_0068,4,114,5958.19,5,5,5,555
SELLER_0069,24,139,8798.29,4,5,5,455
SELLER_0070,275,3,2197.6,1,2,4,124
SELLER_0071,36,1,200.54,3,1,1,311
SELLER_0072,8,18,1517.97,5,4,3,543
SELLER_0073,38,17,12028.79,3,4,5,345
SELLER_0074,18,87,11513.35,4,5,5,455
SELLER_0075,14,40,2855.56,4,5,4,454
SELLER_0076,16,52,15787.4,4,5,5,455
SELLER_0077,9,182,16138.78,5,5,5,555
SELLER_0078,8,12,1714.75,5,4,4,544
SELLER_0079,25,1,133.84,4,1,1,411
SELLER_0080,12,46,16607.69,5,5,5,555
SELLER_0081,20,5,1436.07,4,2,3,423
SELLER_0082,373,1,116.04,1,1,1,111
SELLER_0083,11,1,204.81,5,1,1,511
SELLER_0084,366,17,663.72,1,4,3,143
SELLER_0085,225,5,674.33,2,2,3,223
SELLER_0086,26,14,1170.93,4,4,3,443
SELLER_0087,9,68,5226.3099999999995,5,5,4,554
SELLER_0088,6,42,3948.83,5,5,4,554
SELLER_0089,56,10,3095.8999999999996,3,3,4,334
SELLER_0090,550,1,317.37,1,1,2,112
SELLER_0091,39,1,93.12,3,1,1,311
SELLER_0092,116,1,35.129999999999995,2,1,1,211
SELLER_0093,12,94,5993.48,5,5,5,555
SELLER_0094,400,6,389.28000000000003,1,3,2,132
SELLER_0095,76,6,6404.34,3,3,5,335
SELLER_0096,355,1,36.7,1,1,1,111
SELLER_0097,531,3,450.1,1,2,2,122
SELLER_0098,4,8,1181.63,5,3,3,533
SELLER_0099,79,7,702.06,3,3,3,333
SELLER_0100,8,31,2236.56,5,4,4,544
SELLER_0101,413,1,315.98,1,1,2,112
SELLER_0102,6,206,20453.3,5,5,5,555
SELLER_0103,71,278,60756.76,3,5,5,355
SELLER_0104,40,1,97.69,3,1,1,311
SELLER_0105,10,17,1525.4099999999999,5,4,3,543
SELLER_0106,12,150,21447.31,5,5,5,555
SELLER_0107,98,10,434.28,2,3,2,232
SELLER_0108,480,3,277.32000000000005,1,2,2,122
SELLER_0109,24,3,139.57999999999998,4,2,1,421
SELLER_0110,5,86,9254.69,5,5,5,555
SELLER_0111,40,30,4467.65,3,4,4,344
SELLER_0112,25,2,334.78999999999996,4,1,2,412
SELLER_0113,221,22,8742.349999999999,2,4,5,245
SELLER_0114,49,18,5231.95,3,4,4,344
SELLER_0115,206,6,1564.72,2,3,3,233
SELLER_0116,132,8,1169.14,2,3,3,233
SELLER_0117,11,6,621.71,5,3,3,533
SELLER_0118,7,5,112.72,5,2,1,521
SELLER_0119,194,79,12216.4,2,5,5,255
SELLER_0120,181,5,259.44,2,2,2,222
SELLER_0121,18,38,13108.880000000001,4,5,5,455
SELLER_0122,26,19,3686.77,4,4,4,444
SELLER_0123,151,11,3452.63,2,3,4,234
SELLER_0124,504,3,302.06000000000006,1,2,2,122
SELLER_0125,384,3,319.28999999999996,1,2,2,122
SELLER_0126,112,9,927.0500000000001,2,3,3,233
SELLER_0127,190,2,201.26999999999998,2,1,1,211
SELLER_0128,9,3,375.15,5,2,2,522
SELLER_0129,9,46,8098.86,5,5,5,555
SELLER_0130,76,3,258.16999999999996,3,2,2,322
SELLER_0131,425,1,122.98,1,1,1,111
SELLER_0132,12,25,1651.12,5,4,3,543
SELLER_0133,27,40,4495.56,4,5,4,454
SELLER_0134,179,10,1644.69,2,3,3,233
SELLER_0135,358,5,4533.87,1,2,4,124
SELLER_0136,533,8,918.4,1,3,3,133
SELLER_0137,241,2,711.25,2,1,3,213
SELLER_0138,53,28,4187.68,3,4,4,344
SELLER_0139,22,5,489.9200000000001,4,2,2,422
SELLER_0140,70,28,6728.88,3,4,5,345
SELLER_0141,38,1,182.34,3,1,1,311
SELLER_0142,57,30,1228.62,3,4,3,343
SELLER_0143,109,1,71.53,2,1,1,211
SELLER_0144,200,1,86.15,2,1,1,211
SELLER_0145,428,7,1267.48,1,3,3,133
SELLER_0146,17,139,17216.65,4,5,5,455
SELLER_0147,6,21,1708.18,5,4,4,544
SELLER_0148,54,29,4630.11,3,4,4,344
SELLER_0149,133,3,4874.360000000001,2,2,4,224
SELLER_0150,70,337,20383.010000000002,3,5,5,355
SELLER_0151,78,1,133.96,3,1,1,311
SELLER_0152,14,9,1376.74,4,3,3,433
SELLER_0153,16,4,4690.4,4,2,4,424
SELLER_0154,97,2,328.05999999999995,2,1,2,212
SELLER_0155,94,17,688.61,2,4,3,243
SELLER_0156,207,6,1441.69,2,3,3,233
SELLER_0157,12,44,4129.6,5,5,4,554
SELLER_0158,137,3,559.77,2,2,2,222
SELLER_0159,25,5,210.44,4,2,2,422
SELLER_0160,7,109,11353.76,5,5,5,555
SELLER_0161,336,4,140.86,1,2,1,121
SELLER_0162,437,2,570.3399999999999,1,1,2,112
SELLER_0163,7,12,1477.38,5,4,3,543
SELLER_0164,161,1,72.52,2,1,1,211
SELLER_0165,10,3,70.75,5,2,1,521
SELLER_0166,403,6,474.26,1,3,2,132
SELLER_0167,43,2,149.22,3,1,1,311
SELLER_0168,9,56,11229.050000000001,5,5,5,555
SELLER_0169,240,13,2987.2,2,4,4,244
SELLER_0170,13,44,6044.83,4,5,5,455
SELLER_0171,36,10,824.4,3,3,3,333
SELLER_0172,220,11,442.14,2,3,2,232
