Order_id,Payment_sequential,Payment_type,Payment_installments,Payment_value
ORDER_66617,1,credit_card,8,99.33
ORDER_86954,1,credit_card,1,24.39
ORDER_38852,1,credit_card,1,65.71
ORDER_57443,1,credit_card,8,107.78
ORDER_11244,1,credit_card,2,128.45
ORDER_08350,1,credit_card,2,96.12
ORDER_69024,1,credit_card,1,81.16
ORDER_50586,1,credit_card,3,51.84
ORDER_79845,1,credit_card,6,341.09
ORDER_23057,1,boleto,1,51.95
ORDER_37349,1,credit_card,8,188.73
ORDER_45238,1,credit_card,1,141.9
ORDER_48369,1,credit_card,1,75.78
ORDER_13809,1,credit_card,5,102.66
ORDER_19146,1,credit_card,4,105.28
ORDER_14788,1,credit_card,10,157.45
ORDER_09083,1,credit_card,1,98.94
ORDER_49703,1,credit_card,4,244.15
ORDER_29143,1,credit_card,3,136.71
ORDER_79524,1,credit_card,4,47.69
ORDER_67409,1,credit_card,2,170.57
ORDER_75807,1,credit_card,4,67.5
ORDER_43350,1,boleto,1,330.66
ORDER_49104,2,voucher,1,45.17
ORDER_21993,1,credit_card,2,541.0
ORDER_03694,1,boleto,1,283.34
ORDER_56971,1,credit_card,1,13.78
ORDER_01095,1,credit_card,1,26.58
ORDER_58936,1,credit_card,1,89.68
ORDER_40569,1,credit_card,1,65.09
ORDER_73576,1,credit_card,1,173.84
ORDER_86425,1,credit_card,1,103.49
ORDER_44332,1,credit_card,1,64.03
ORDER_75503,1,credit_card,3,157.15
ORDER_86830,1,boleto,1,130.88
ORDER_28470,1,credit_card,2,47.72
ORDER_80173,1,credit_card,8,117.74
ORDER_59562,1,credit_card,1,266.16
ORDER_45142,1,boleto,1,31.38
ORDER_71974,1,credit_card,1,121.49
ORDER_28970,1,credit_card,1,32.0
ORDER_39488,1,credit_card,5,65.71
ORDER_06828,1,credit_card,4,278.22
ORDER_57426,1,credit_card,4,91.66
ORDER_63728,1,credit_card,1,132.51
ORDER_47292,1,credit_card,4,542.66
ORDER_07934,1,boleto,1,166.04
ORDER_72218,1,boleto,1,368.98
ORDER_68351,1,credit_card,2,113.2
ORDER_06789,1,credit_card,3,99.43
ORDER_05129,1,credit_card,4,43.77
ORDER_56500,1,credit_card,2,68.49
ORDER_87621,1,credit_card,8,387.8
ORDER_12764,1,boleto,1,84.14
ORDER_35680,1,boleto,1,90.05
ORDER_32434,1,credit_card,1,67.88
ORDER_82981,1,boleto,1,89.63
ORDER_80407,1,credit_card,2,78.3
ORDER_35888,1,voucher,1,50.8
ORDER_20937,1,credit_card,1,34.0
ORDER_16795,1,boleto,1,77.1
ORDER_65246,1,credit_card,8,402.42
ORDER_62454,2,voucher,1,57.53
ORDER_87219,1,credit_card,3,44.01
ORDER_66420,1,credit_card,3,187.51
ORDER_14322,1,credit_card,3,77.7
ORDER_39927,1,credit_card,1,48.68
ORDER_50043,1,credit_card,1,77.29
ORDER_40272,1,credit_card,8,117.71
ORDER_81428,1,credit_card,3,169.34
ORDER_68109,1,credit_card,1,37.61
ORDER_13559,1,credit_card,1,13.8
ORDER_16967,1,debit_card,1,227.12
ORDER_23490,1,credit_card,3,34.78
ORDER_24292,1,credit_card,10,342.56
ORDER_21715,1,credit_card,7,73.34
ORDER_82265,1,credit_card,4,117.85
ORDER_71690,1,credit_card,1,48.62
ORDER_17243,1,credit_card,1,53.99
ORDER_38999,1,credit_card,1,51.14
ORDER_45424,1,credit_card,2,121.45
ORDER_29330,1,credit_card,1,73.34
ORDER_72795,1,credit_card,10,117.68
ORDER_73427,1,credit_card,1,56.77
ORDER_08095,1,credit_card,2,115.59
ORDER_52930,1,credit_card,6,60.07
ORDER_24309,1,credit_card,1,27.27
ORDER_04180,1,boleto,1,32.15
ORDER_03425,1,credit_card,3,195.71
ORDER_71017,2,voucher,1,43.12
ORDER_69622,1,credit_card,3,34.09
ORDER_40426,1,credit_card,1,40.99
ORDER_58343,1,credit_card,3,71.99
ORDER_64810,1,boleto,1,47.0
ORDER_63534,1,credit_card,3,81.78
ORDER_03807,1,credit_card,3,231.45
ORDER_81458,1,credit_card,7,144.2
ORDER_44662,1,credit_card,10,285.79
ORDER_39762,1,credit_card,2,176.7
ORDER_10303,1,credit_card,8,134.56
ORDER_59702,1,credit_card,4,96.98
ORDER_60604,1,credit_card,2,110.03
ORDER_68780,1,credit_card,1,17.78
ORDER_23344,1,credit_card,1,44.0
ORDER_68667,1,credit_card,4,46.63
ORDER_52817,1,boleto,1,52.21
ORDER_17396,1,credit_card,2,61.77
ORDER_16380,1,boleto,1,121.88
ORDER_44566,1,credit_card,1,75.75
ORDER_14599,1,credit_card,1,130.22
ORDER_22714,1,credit_card,3,57.53
ORDER_17448,1,credit_card,7,76.02
ORDER_45212,1,boleto,1,90.17
ORDER_58898,1,credit_card,1,31.0
ORDER_83411,1,credit_card,10,106.77
ORDER_21469,1,voucher,1,163.25
ORDER_02757,1,boleto,1,233.66
ORDER_26599,1,credit_card,1,163.08
ORDER_43116,1,credit_card,7,186.72
ORDER_46611,2,voucher,1,30.0
ORDER_37833,1,credit_card,4,97.28
ORDER_72762,1,credit_card,1,48.61
ORDER_41796,1,boleto,1,116.7
ORDER_18434,1,credit_card,1,41.42
ORDER_56961,1,credit_card,6,125.53
ORDER_80758,1,credit_card,5,92.76
ORDER_75231,1,credit_card,8,348.02
ORDER_52025,1,credit_card,2,203.3
ORDER_86411,1,credit_card,3,44.35
ORDER_74939,1,credit_card,10,116.05
ORDER_61459,1,boleto,1,85.14
ORDER_05786,1,credit_card,4,236.66
ORDER_26896,1,credit_card,4,220.3
ORDER_82953,1,credit_card,1,180.55
ORDER_82627,1,boleto,1,45.46
ORDER_40121,1,boleto,1,26.08
ORDER_52504,1,credit_card,1,375.74
ORDER_11406,1,credit_card,5,123.41
ORDER_11560,1,credit_card,10,379.07
ORDER_33561,1,credit_card,10,2027.16
ORDER_87428,1,credit_card,1,45.5
ORDER_59025,1,credit_card,1,91.17
ORDER_41083,1,boleto,1,93.26
ORDER_03549,2,voucher,1,30.0
ORDER_52179,1,credit_card,10,165.96
ORDER_81882,2,voucher,1,50.0
ORDER_85637,1,credit_card,10,1002.73
ORDER_58229,1,credit_card,2,240.52
ORDER_03204,1,credit_card,3,33.13
ORDER_35919,1,credit_card,1,213.9
ORDER_02471,1,credit_card,8,362.17
ORDER_28040,1,credit_card,2,88.72
ORDER_77416,1,credit_card,2,46.85
ORDER_23810,1,boleto,1,68.54
ORDER_32691,1,boleto,1,32.62
ORDER_01135,1,credit_card,8,340.08
ORDER_50393,1,boleto,1,82.06
ORDER_31189,1,credit_card,1,40.95
ORDER_10681,1,credit_card,3,67.01
ORDER_74972,5,voucher,1,20.0
ORDER_46351,2,voucher,1,76.9
ORDER_09945,1,credit_card,8,242.1
ORDER_73389,1,boleto,1,207.24
ORDER_41270,1,credit_card,2,215.56
ORDER_39599,1,credit_card,1,39.92
ORDER_80599,1,credit_card,8,156.09
ORDER_25663,1,credit_card,2,131.5
ORDER_70281,1,boleto,1,137.73
ORDER_03737,1,credit_card,1,31.75
ORDER_86180,1,credit_card,8,348.77
ORDER_36603,1,credit_card,12,257.1
ORDER_23971,1,credit_card,3,269.46
ORDER_07382,1,credit_card,1,40.0
ORDER_46162,1,credit_card,10,350.09
ORDER_10547,2,credit_card,6,134.55
ORDER_67366,1,credit_card,3,112.73
ORDER_75335,1,boleto,1,72.05
ORDER_63576,1,credit_card,1,0.67
ORDER_74576,1,credit_card,2,77.77
