Product_id,Product_category_name,Product_weight_g,Product_length_cm,Product_height_cm,Product_width_cm
PRODUCT_00000,perfumery,225.0,16.0,10.0,14.0
PRODUCT_00001,arts,1000.0,30.0,18.0,20.0
PRODUCT_00002,sports_leisure,154.0,18.0,9.0,15.0
PRODUCT_00003,home_utilities,625.0,20.0,17.0,13.0
PRODUCT_00004,musical_instruments,200.0,38.0,5.0,11.0
PRODUCT_00005,cool_stuff,18350.0,70.0,24.0,44.0
PRODUCT_00006,furniture_decor,900.0,40.0,8.0,40.0
PRODUCT_00007,home_appliances,400.0,27.0,13.0,17.0
PRODUCT_00008,toys,600.0,17.0,10.0,12.0
PRODUCT_00009,bed_bath_table,1100.0,16.0,10.0,16.0
PRODUCT_00010,baby,7150.0,50.0,19.0,45.0
PRODUCT_00011,musical_instruments,250.0,17.0,7.0,17.0
PRODUCT_00012,furniture_decor,600.0,68.0,11.0,13.0
PRODUCT_00013,construction_tools_safety,200.0,17.0,7.0,17.0
PRODUCT_00014,sports_leisure,800.0,16.0,2.0,11.0
PRODUCT_00015,perfumery,400.0,27.0,5.0,20.0
PRODUCT_00016,computers_accessories,900.0,40.0,15.0,20.0
PRODUCT_00017,furniture_decor,1700.0,100.0,7.0,15.0
PRODUCT_00018,bed_bath_table,500.0,16.0,10.0,16.0
PRODUCT_00019,furniture_decor,2550.0,29.0,24.0,45.0
PRODUCT_00020,bed_bath_table,800.0,36.0,8.0,16.0
PRODUCT_00021,health_beauty,75.0,21.0,7.0,13.0
PRODUCT_00022,baby,500.0,20.0,13.0,13.0
PRODUCT_00023,furniture_decor,1800.0,40.0,10.0,30.0
PRODUCT_00024,luggage_accessories,3600.0,35.0,25.0,50.0
PRODUCT_00025,computers_accessories,300.0,42.0,2.0,30.0
PRODUCT_00026,computers_accessories,740.0,23.0,13.0,13.0
PRODUCT_00027,bed_bath_table,650.0,16.0,10.0,16.0
PRODUCT_00028,garden_tools,2150.0,70.0,8.0,34.0
PRODUCT_00029,furniture_decor,800.0,40.0,10.0,34.0
PRODUCT_00030,office_furniture,8950.0,52.0,51.0,17.0
PRODUCT_00031,sports_leisure,1388.0,34.0,9.0,31.0
PRODUCT_00032,baby,7950.0,33.0,30.0,44.0
PRODUCT_00033,automotive,6000.0,87.0,3.0,42.0
PRODUCT_00034,electronics,263.0,18.0,12.0,16.0
PRODUCT_00035,furniture_decor,600.0,25.0,25.0,25.0
PRODUCT_00036,toys,725.0,22.0,17.0,15.0
PRODUCT_00037,bed_bath_table,6350.0,45.0,15.0,35.0
PRODUCT_00038,baby,600.0,70.0,11.0,11.0
PRODUCT_00039,cool_stuff,11750.0,18.0,40.0,79.0
PRODUCT_00040,toys,2550.0,22.0,32.0,38.0
PRODUCT_00041,cool_stuff,15350.0,47.0,40.0,47.0
PRODUCT_00042,furniture_decor,1300.0,25.0,16.0,25.0
PRODUCT_00043,furniture_decor,850.0,69.0,11.0,11.0
PRODUCT_00044,health_beauty,1300.0,19.0,28.0,17.0
PRODUCT_00045,cool_stuff,1300.0,36.0,16.0,24.0
PRODUCT_00046,automotive,220.0,18.0,14.0,17.0
PRODUCT_00047,baby,5700.0,41.0,17.0,49.0
PRODUCT_00048,luggage_accessories,450.0,20.0,40.0,30.0
PRODUCT_00049,fashion_shoes,2000.0,32.0,12.0,37.0
PRODUCT_00050,telephony,100.0,19.0,3.0,11.0
PRODUCT_00051,cool_stuff,1100.0,30.0,20.0,23.0
PRODUCT_00052,stationery,1400.0,38.0,40.0,39.0
PRODUCT_00053,toys,250.0,20.0,14.0,12.0
PRODUCT_00054,sports_leisure,1050.0,25.0,20.0,14.0
PRODUCT_00055,stationery,500.0,24.0,7.0,16.0
PRODUCT_00056,health_beauty,1467.0,23.0,16.0,20.0
PRODUCT_00057,fashion_bags_accessories,100.0,16.0,5.0,11.0
PRODUCT_00058,stationery,100.0,16.0,5.0,16.0
PRODUCT_00059,stationery,300.0,23.0,7.0,15.0
PRODUCT_00060,garden_tools,250.0,17.0,3.0,11.0
PRODUCT_00061,pcs,12000.0,27.0,50.0,53.0
PRODUCT_00062,automotive,921.0,17.0,9.0,16.0
PRODUCT_00063,home_construction,10000.0,60.0,25.0,25.0
PRODUCT_00064,watches_gifts,250.0,16.0,11.0,11.0
PRODUCT_00065,cool_stuff,1200.0,44.0,20.0,20.0
PRODUCT_00066,construction_tools_construction,4800.0,25.0,8.0,25.0
PRODUCT_00067,pet_shop,700.0,40.0,20.0,20.0
PRODUCT_00068,small_appliances,350.0,20.0,20.0,20.0
PRODUCT_00069,perfumery,422.0,21.0,16.0,18.0
PRODUCT_00070,watches_gifts,317.0,19.0,13.0,16.0
PRODUCT_00071,agro_industry_and_commerce,16400.0,63.0,66.0,56.0
PRODUCT_00072,health_beauty,938.0,29.0,22.0,23.0
PRODUCT_00073,health_beauty,2700.0,21.0,16.0,31.0
PRODUCT_00074,bed_bath_table,1750.0,30.0,18.0,30.0
PRODUCT_00075,garden_tools,3850.0,29.0,12.0,24.0
PRODUCT_00076,perfumery,267.0,17.0,13.0,17.0
PRODUCT_00077,musical_instruments,16200.0,55.0,40.0,40.0
PRODUCT_00078,bed_bath_table,1400.0,38.0,9.0,27.0
PRODUCT_00079,bed_bath_table,6450.0,100.0,10.0,11.0
PRODUCT_00080,furniture_decor,2300.0,105.0,3.0,70.0
PRODUCT_00081,computers_accessories,300.0,25.0,8.0,18.0
PRODUCT_00082,sports_leisure,600.0,50.0,10.0,12.0
PRODUCT_00083,health_beauty,150.0,20.0,24.0,33.0
PRODUCT_00084,sports_leisure,400.0,16.0,4.0,11.0
PRODUCT_00085,telephony,100.0,18.0,6.0,11.0
PRODUCT_00086,furniture_decor,800.0,53.0,8.0,20.0
PRODUCT_00087,automotive,5250.0,47.0,19.0,23.0
PRODUCT_00088,automotive,200.0,35.0,4.0,26.0
PRODUCT_00089,watches_gifts,335.0,17.0,11.0,12.0
PRODUCT_00090,bed_bath_table,1300.0,50.0,12.0,12.0
PRODUCT_00091,furniture_decor,150.0,35.0,2.0,25.0
PRODUCT_00092,computers_accessories,367.0,16.0,4.0,11.0
PRODUCT_00093,watches_gifts,250.0,16.0,2.0,11.0
PRODUCT_00094,baby,2150.0,42.0,25.0,15.0
PRODUCT_00095,Unknown,650.0,17.0,14.0,12.0
PRODUCT_00096,sports_leisure,150.0,16.0,5.0,11.0
PRODUCT_00097,bed_bath_table,650.0,27.0,10.0,22.0
PRODUCT_00098,small_appliances,2700.0,20.0,26.0,32.0
PRODUCT_00099,home_utilities,1200.0,23.0,22.0,16.0
PRODUCT_00100,living_room_furniture,6050.0,55.0,10.0,46.0
PRODUCT_00101,sports_leisure,150.0,16.0,6.0,11.0
PRODUCT_00102,home_construction,1050.0,16.0,20.0,16.0
PRODUCT_00103,pet_shop,1350.0,23.0,7.0,30.0
PRODUCT_00104,home_utilities,600.0,36.0,6.0,19.0
PRODUCT_00105,furniture_decor,1000.0,30.0,18.0,18.0
PRODUCT_00106,bed_bath_table,1550.0,43.0,8.0,33.0
PRODUCT_00107,bed_bath_table,2700.0,45.0,13.0,35.0
PRODUCT_00108,perfumery,377.0,18.0,13.0,15.0
PRODUCT_00109,sports_leisure,400.0,45.0,22.0,43.0
PRODUCT_00110,air_conditioning,2000.0,32.0,51.0,16.0
PRODUCT_00111,fashion_bags_accessories,300.0,16.0,2.0,11.0
PRODUCT_00112,furniture_decor,250.0,26.0,14.0,14.0
PRODUCT_00113,sports_leisure,1950.0,60.0,15.0,15.0
PRODUCT_00114,telephony,500.0,16.0,15.0,11.0
PRODUCT_00115,Unknown,300.0,16.0,7.0,20.0
PRODUCT_00116,arts,7900.0,70.0,15.0,70.0
PRODUCT_00117,garden_tools,900.0,37.0,3.0,23.0
PRODUCT_00118,fashion_bags_accessories,200.0,16.0,2.0,11.0
PRODUCT_00119,consoles_games,250.0,21.0,7.0,15.0
PRODUCT_00120,home_utilities,550.0,16.0,25.0,12.0
PRODUCT_00121,luggage_accessories,1100.0,39.0,12.0,28.0
PRODUCT_00122,consoles_games,100.0,16.0,3.0,11.0
PRODUCT_00123,sports_leisure,150.0,16.0,18.0,16.0
PRODUCT_00124,sports_leisure,3775.0,18.0,13.0,16.0
PRODUCT_00125,cool_stuff,1400.0,25.0,20.0,20.0
PRODUCT_00126,consoles_games,900.0,22.0,7.0,18.0
PRODUCT_00127,watches_gifts,250.0,20.0,12.0,20.0
PRODUCT_00128,toys,350.0,21.0,9.0,16.0
PRODUCT_00129,Unknown,200.0,20.0,20.0,20.0
PRODUCT_00130,baby,1800.0,18.0,32.0,27.0
PRODUCT_00131,automotive,27100.0,50.0,50.0,50.0
PRODUCT_00132,home_appliances,1500.0,65.0,8.0,38.0
PRODUCT_00133,watches_gifts,500.0,16.0,11.0,11.0
PRODUCT_00134,bed_bath_table,350.0,16.0,10.0,16.0
PRODUCT_00135,automotive,500.0,16.0,12.0,17.0
PRODUCT_00136,sports_leisure,1000.0,20.0,20.0,20.0
PRODUCT_00137,Unknown,18500.0,41.0,30.0,41.0
PRODUCT_00138,toys,300.0,24.0,11.0,24.0
PRODUCT_00139,health_beauty,250.0,16.0,2.0,20.0
PRODUCT_00140,health_beauty,10700.0,40.0,40.0,40.0
PRODUCT_00141,home_utilities,1700.0,32.0,21.0,22.0
PRODUCT_00142,sports_leisure,5200.0,20.0,60.0,35.0
PRODUCT_00143,telephony,125.0,17.0,10.0,14.0
PRODUCT_00144,office_furniture,15700.0,58.0,28.0,58.0
PRODUCT_00145,watches_gifts,350.0,16.0,11.0,11.0
PRODUCT_00146,sports_leisure,213.0,16.0,10.0,13.0
PRODUCT_00147,fashion_bags_accessories,150.0,16.0,11.0,11.0
PRODUCT_00148,home_utilities,850.0,18.0,21.0,15.0
PRODUCT_00149,home_construction,1050.0,16.0,20.0,16.0
PRODUCT_00150,fashion_bags_accessories,200.0,16.0,9.0,11.0
PRODUCT_00151,home_utilities,300.0,16.0,15.0,11.0
PRODUCT_00152,computers_accessories,200.0,23.0,9.0,13.0
PRODUCT_00153,sports_leisure,800.0,20.0,25.0,25.0
PRODUCT_00154,stationery,200.0,24.0,7.0,14.0
PRODUCT_00155,sports_leisure,698.0,46.0,10.0,14.0
PRODUCT_00156,telephony,350.0,17.0,4.0,12.0
PRODUCT_00157,books_general_interest,1000.0,24.0,5.0,17.0
