Seller_id,Seller_zipcode_prefix,Seller_city,Seller_state
SELLER_0000,13023,campinas,SP
SELLER_0001,13844,mogi guacu,SP
SELLER_0002,12914,braganca paulista,SP
SELLER_0003,20920,rio de janeiro,RJ
SELLER_0004,55325,brejao,PE
SELLER_0005,16304,penapolis,SP
SELLER_0006,1529,sao paulo,SP
SELLER_0007,80310,curitiba,PR
SELLER_0008,75110,anapolis,GO
SELLER_0009,13530,itirapina,SP
SELLER_0010,1222,sao paulo,SP
SELLER_0011,88705,tubarao,SC
SELLER_0012,42738,lauro de freitas,BA
SELLER_0013,88780,imbituba,SC
SELLER_0014,70740,brasilia,DF
SELLER_0015,45810,porto seguro,BA
SELLER_0016,5138,sao paulo,SP
SELLER_0017,11440,guaruja,SP
SELLER_0018,14910,tabatinga,SP
SELLER_0019,4156,sao paulo,SP
SELLER_0020,13320,salto,SP
SELLER_0021,98910,tres de maio,RS
SELLER_0022,30494,belo horizonte,MG
SELLER_0023,9850,sao bernardo do campo,SP
SELLER_0024,4857,sao paulo,SP
SELLER_0025,18500,tatui,SP
SELLER_0026,80210,curitiba,PR
SELLER_0027,2261,sao paulo,SP
SELLER_0028,88495,garopaba,SC
SELLER_0029,3562,sao paulo,SP
SELLER_0030,37650,camanducaia,MG
SELLER_0031,17602,tupa,SP
SELLER_0032,7241,guarulhos,SP
SELLER_0033,3445,sao paulo,SP
SELLER_0034,4133,sao paulo,SP
SELLER_0035,72233,brasilia,DF
SELLER_0036,70645,brasilia,DF
SELLER_0037,88730,sao ludgero,SC
SELLER_0038,88075,sao jose,SC
SELLER_0039,13416,piracicaba,SP
SELLER_0040,90850,porto alegre,RS
SELLER_0041,37584,congonhal,MG
SELLER_0042,31555,belo horizonte,MG
SELLER_0043,9251,santo andre,SP
SELLER_0044,4705,sao paulo,SP
SELLER_0045,6144,osasco,SP
SELLER_0046,13270,valinhos,SP
SELLER_0047,89214,joinville,SC
SELLER_0048,11446,guaruja,SP
SELLER_0049,28990,saquarema,RJ
SELLER_0050,88390,barra velha,SC
SELLER_0051,25730,petropolis,RJ
SELLER_0052,95500,santo antonio da patrulha,RS
SELLER_0053,84010,ponta grossa,PR
SELLER_0054,6544,santana de parnaiba,SP
SELLER_0055,9121,santo andre,SP
SELLER_0056,13568,sao carlos,SP
SELLER_0057,6056,osasco,SP
SELLER_0058,14940,ibitinga,SP
SELLER_0059,5741,sao paulo,SP
SELLER_0060,83010,sao jose dos pinhais,PR
SELLER_0061,3702,sao paulo,SP
SELLER_0062,6429,barueri,SP
SELLER_0063,3569,sao paulo,SP
SELLER_0064,89207,joinville,SC
SELLER_0065,38440,araguari,MG
SELLER_0066,32180,contagem,MG
SELLER_0067,89258,jaragua do sul,SC
SELLER_0068,14940,ibitinga,SP
SELLER_0069,9715,sao bernardo do campo,SP
SELLER_0070,88501,lages - sc,SC
SELLER_0071,95711,bento goncalves,RS
SELLER_0072,9400,ribeirao pires,SP
SELLER_0073,4726,sao paulo,SP
SELLER_0074,14882,jaboticabal,SP
SELLER_0075,19830,echapora,SP
SELLER_0076,6713,cotia,SP
SELLER_0077,89160,rio do sul,SC
SELLER_0078,4275,sao paulo,SP
SELLER_0079,18040,sorocaba,SP
SELLER_0080,21235,rio de janeiro,RJ
SELLER_0081,14850,pradopolis,SP
SELLER_0082,22420,rio de janeiro,RJ
SELLER_0083,1125,sao paulo,SP
SELLER_0084,24813,itaborai,RJ
SELLER_0085,5786,sao paulo,SP
SELLER_0086,15137,mirassol,SP
SELLER_0087,16200,birigui,SP
SELLER_0088,31730,belo horizonte,MG
SELLER_0089,20060,rio de janeiro,RJ
SELLER_0090,14940,ibitinga,SP
SELLER_0091,12401,sao paulo,SP
SELLER_0092,1425,sao paulo,SP
SELLER_0093,19803,assis,SP
